X, Y
0.07330604878866975, 0.8014226821067756
0.1661575819631842, 1.800580523229894
0.6995403090391857, 2.9428426511704133
3.739693717843958, 3.273789345607889
4.6548452940121825, 3.2432474181215083
5.800609928703754, 2.2899099772482145
2.8739261867333927, 6.851536185480562
7.213831740018356, 6.9884182899511025
5.326744862838446, 2.47894007512006
6.4738431697340655, 8.064819056138258
9.391058372638053, 4.65542320269743
1.6948694982714723, 3.5560225045761187
1.5140093076206513, 3.1884934811256436
4.430058552698293, 2.25747312715163
10.852231279914546, 3.781204549788254
0.8270875691175572, 2.845477430116926
2.751993939849164, 15.630578767457608
0.950355329431521, 15.883654177194524
3.2673577026468132, 17.848028970597163
15.357127440374532, 12.3861418864545
